Breaking Bad,Profesor de quimica se convierte en fabricante de drogas,19.99,100,Drama,5
Game of Thrones,Familias nobles luchan por el trono de los Siete Reinos,24.99,80,Fantasia,8
Stranger Things,Ninos investigan sucesos paranormales en su pueblo,15.99,120,Ciencia Ficcion,4
The Crown,Historia de la reina Isabel II,22.99,70,Drama,6
Friends,Grupo de amigos vive en Nueva York,16.99,150,Comedia,10
The Office,Comedia sobre empleados de una oficina de papel,14.99,95,Comedia,9
Chernobyl,Drama sobre el desastre nuclear,21.99,55,Drama,1
Black Mirror,Antologia sobre tecnologia y sociedad,18.99,85,Ciencia Ficcion,5
The Mandalorian,Cazarrecompensas en el universo Star Wars,20.99,110,Ciencia Ficcion,3
Succession,Familia lucha por el control de un imperio mediatico,23.99,60,Drama,4
